OrderID,ProductID,Quantity,UnitCost,UnitPrice,TotalCost,TotalPrice
402,576,12,15.17,28.99,182.04,347.88
754,772,2,3.02,7.16,6.04,14.32
2152,255,5,21.97,36,109.85,180
225,589,3,84.73,90.99,254.19,272.97
1713,274,11,99.05,102,1089.55,1122
736,721,12,73.77,116.99,885.24,1403.88
2595,317,10,56.08,89.99,560.8,899.9
2603,219,3,80.45,128,241.35,384
2068,98,10,59.1,71.99,591,719.9
2573,112,4,84.76,165.99,339.04,663.96
1230,996,9,65.97,113.99,593.73,1025.91
1919,470,5,21.86,32,109.3,160
2877,444,1,38.82,63,38.82,63
2475,455,7,42.6,119.38,298.2,835.66
2975,488,14,67.54,101.58,945.56,1422.12
25,897,7,82.28,153,575.96,1071
2977,809,2,23.99,36.99,47.98,73.98
1824,143,3,21.54,39.99,64.62,119.97
2274,903,1,6.6,9.99,6.6,9.99
845,254,11,18.38,33.99,202.18,373.89
261,581,2,5.35,9,10.7,18
2287,796,9,85.52,274.92,769.68,2474.28
2565,714,4,57.64,86.99,230.56,347.96
1405,232,1,12.52,24,12.52,24
883,155,9,98.89,116.99,890.01,1052.91
485,616,13,24.14,93.91,313.82,1220.83
813,613,10,9.68,23.82,96.8,238.2
2172,654,3,17.17,21.99,51.51,65.97
1474,16,11,80.79,107.99,888.69,1187.89
1583,922,14,70.04,118.99,980.56,1665.86
2188,763,2,84.61,93,169.22,186
2520,661,7,99.4,135.99,695.8,951.93
1352,600,11,66.15,123.99,727.65,1363.89
623,759,5,85.09,135.99,425.45,679.95
835,655,12,97.53,137,1170.36,1644
1908,844,13,97.96,173.99,1273.48,2261.87
2283,896,3,62.69,115.63,188.07,346.89
980,828,8,52.63,102.99,421.04,823.92
2880,9,10,94.08,139.99,940.8,1399.9
904,251,12,99.7,104.99,1196.4,1259.88
766,26,9,11.06,20.99,99.54,188.91
1011,278,9,44.19,107.87,397.71,970.83
1927,572,8,48.52,92.01,388.16,736.08
620,205,11,76.95,125,846.45,1375
1024,354,8,50.17,80.69,401.36,645.52
560,885,4,41.69,69.99,166.76,279.96
2420,830,13,77.09,92.99,1002.17,1208.87
2568,459,12,35.77,68.99,429.24,827.88
947,782,14,34.41,51.99,481.74,727.86
889,326,3,2.8,7.51,8.4,22.53
1064,271,12,46.53,55.99,558.36,671.88
2177,490,2,61.49,61.99,122.98,123.98
120,360,5,56.68,87.99,283.4,439.95
893,829,8,11.05,13.99,88.4,111.92
2330,116,1,91.54,158.53,91.54,158.53
1734,551,14,39.81,54.99,557.34,769.86
2474,269,2,71.98,141.99,143.96,283.98
1283,408,11,99.2,168.99,1091.2,1858.89
2765,168,8,81.36,152,650.88,1216
1626,913,5,67.82,78,339.1,390
297,119,10,54.98,75.99,549.8,759.9
1172,885,1,41.69,69.99,41.69,69.99
2395,378,9,94.6,150.99,851.4,1358.91
2027,917,8,35.43,45.99,283.44,367.92
1990,259,9,19.28,19.99,173.52,179.91
605,899,14,36.94,47.99,517.16,671.86
2245,407,6,83.74,302.64,502.44,1815.84
1425,947,13,86.75,131.99,1127.75,1715.87
2390,745,2,29.72,49.99,59.44,99.98
2560,159,1,74.95,92.99,74.95,92.99
106,767,9,58.8,138.47,529.2,1246.23
882,515,10,93.34,185.56,933.4,1855.6
632,59,10,13.76,25,137.6,250
1261,738,9,14.73,21,132.57,189
543,442,7,70.55,123.99,493.85,867.93
1683,822,14,57.18,107.45,800.52,1504.3
2860,364,2,43.03,62,86.06,124
1694,79,1,68.9,116.63,68.9,116.63
864,978,10,33.25,49.24,332.5,492.4
1359,195,14,3.09,5,43.26,70
2812,408,11,99.2,168.99,1091.2,1858.89
643,67,7,4.8,7.99,33.6,55.93
57,14,12,57.11,145.47,685.32,1745.64
1563,683,6,48.07,58,288.42,348
1946,719,8,58.15,162.29,465.2,1298.32
949,740,8,30.15,55,241.2,440
224,955,14,85.02,158,1190.28,2212
660,168,9,81.36,272.17,732.24,2449.53
322,717,3,94.39,96,283.17,288
1771,703,10,55.07,100.99,550.7,1009.9
1009,575,11,77.02,167.86,847.22,1846.46
2674,677,14,49.75,65.99,696.5,923.86
2983,722,2,4.06,7.63,8.12,15.26
2296,510,6,63.87,85,383.22,510
2400,617,14,44.24,50.99,619.36,713.86
936,872,10,38.37,50.99,383.7,509.9
1116,825,8,81.73,98,653.84,784
2523,922,2,70.04,118.99,140.08,237.98
267,812,5,3.47,4,17.35,20
2949,203,5,68.91,112.99,344.55,564.95
1298,188,12,38.38,108.09,460.56,1297.08
784,658,13,18.2,30.99,236.6,402.87
1533,696,10,8.75,10.99,87.5,109.9
872,871,12,66.65,94.99,799.8,1139.88
867,24,11,2.8,6.26,30.8,68.86
1198,86,8,14.71,49.33,117.68,394.64
1765,689,5,72.22,83.99,361.1,419.95
38,122,13,76.81,141.99,998.53,1845.87
722,138,7,51.4,71,359.8,497
2497,599,2,8.64,16,17.28,32
871,456,8,39.32,120.63,314.56,965.04
2137,939,1,35.63,64.99,35.63,64.99
1065,638,10,1.38,3.74,13.8,37.4
2068,551,2,39.81,58.11,79.62,116.22
985,279,12,55.57,98.13,666.84,1177.56
1200,614,7,18.47,26.99,129.29,188.93
2228,660,9,36.55,61.54,328.95,553.86
1230,859,7,78.57,123.99,549.99,867.93
796,786,5,78.22,123.99,391.1,619.95
1063,737,5,90.12,104.99,450.6,524.95
371,837,13,60.84,82,790.92,1066
2186,343,12,53.97,68,647.64,816
2524,591,6,50.22,67.99,301.32,407.94
253,478,11,33.01,62.99,363.11,692.89
690,374,13,88.29,116,1147.77,1508
190,712,11,56.53,82.99,621.83,912.89
998,292,3,27.12,35,81.36,105
777,729,14,47.9,183.23,670.6,2565.22
1892,968,3,37.3,89.72,111.9,269.16
654,545,4,59.09,130.93,236.36,523.72
2259,26,7,11.06,30.99,77.42,216.93
2114,560,13,59.32,82.12,771.16,1067.56
2182,654,7,17.17,21.99,120.19,153.93
127,112,5,84.76,165.99,423.8,829.95
2132,521,12,34.26,63.99,411.12,767.88
1068,704,9,53.32,58.99,479.88,530.91
2183,259,14,19.28,27.71,269.92,387.94
1168,145,1,48.45,67.99,48.45,67.99
1996,638,7,1.38,1.99,9.66,13.93
2581,602,6,50.25,56.99,301.5,341.94
2743,170,6,99.11,172,594.66,1032
1290,197,9,82.5,148,742.5,1332
584,883,1,73.41,76,73.41,76
1465,926,7,92.01,106.99,644.07,748.93
2396,999,7,12.36,15.99,86.52,111.93
3,514,10,97.73,156.99,977.3,1569.9
46,551,7,39.81,54.99,278.67,384.93
276,522,13,71.33,79.99,927.29,1039.87
2234,914,12,27.62,69.59,331.44,835.08
2033,697,11,85.18,107.99,936.98,1187.89
1905,35,9,84.18,90,757.62,810
2010,684,3,35.1,59,105.3,177
1097,251,12,99.7,104.99,1196.4,1259.88
2516,553,14,91.5,92.99,1281,1301.86
1471,180,8,72.25,199.38,578,1595.04
2175,996,3,65.97,113.99,197.91,341.97
2669,395,5,25.08,29,125.4,145
921,682,1,8.34,11.99,8.34,11.99
1459,604,7,8.5,16,59.5,112
1781,850,8,18.18,24.99,145.44,199.92
2690,228,4,31.66,48,126.64,192
2065,355,3,80.93,147,242.79,441
1929,361,3,4.58,11.02,13.74,33.06
2975,832,4,94.31,158,377.24,632
1952,932,8,75.22,117,601.76,936
2693,979,7,57.51,186.93,402.57,1308.51
1627,712,14,56.53,82.99,791.42,1161.86
1850,541,10,26.12,31.99,261.2,319.9
616,290,4,68.94,115.99,275.76,463.96
284,59,13,13.76,25,178.88,325
2867,48,13,72.2,120.22,938.6,1562.86
1477,92,1,57.84,121.93,57.84,121.93
1377,520,9,38.67,73,348.03,657
630,87,6,79.75,87.99,478.5,527.94
2027,237,2,45.34,53.01,90.68,106.02
8,294,7,95.36,185.99,667.52,1301.93
1159,307,14,22.65,41.99,317.1,587.86
2014,281,12,76.58,114.99,918.96,1379.88
2172,448,12,72.88,88.99,874.56,1067.88
1953,236,3,14.62,27.99,43.86,83.97
1435,152,1,67.57,74.99,67.57,74.99
2701,714,3,57.64,86.99,172.92,260.97
2057,329,12,51.56,61.99,618.72,743.88
2634,728,3,90.94,148.99,272.82,446.97
1866,662,6,45.94,74.52,275.64,447.12
2090,950,12,85.5,101.99,1026,1223.88
2251,613,5,9.68,15.99,48.4,79.95
699,910,4,48.94,91,195.76,364
1086,330,4,16.37,23.99,65.48,95.96
752,654,14,17.17,21.99,240.38,307.86
2362,206,10,34.63,45.99,346.3,459.9
2576,982,9,44.46,81.99,400.14,737.91
1589,644,6,67.82,109.21,406.92,655.26
936,758,14,68.22,130.99,955.08,1833.86
1312,602,8,50.25,56.99,402,455.92
1509,588,11,52.73,76.99,580.03,846.89
65,295,14,61.89,99.44,866.46,1392.16
335,938,10,82.73,130.25,827.3,1302.5
137,703,13,55.07,100.99,715.91,1312.87
1052,964,7,35.51,68,248.57,476
1611,171,1,3.59,5.99,3.59,5.99
1351,201,13,28.76,52.99,373.88,688.87
306,781,10,77.4,92,774,920
2652,635,3,67.74,71.99,203.22,215.97
2893,70,5,76.21,167.45,381.05,837.25
847,572,12,48.52,78,582.24,936
2254,242,11,19.66,29.99,216.26,329.89
431,804,6,36.05,67.99,216.3,407.94
2891,199,10,90.73,137.45,907.3,1374.5
2436,956,10,87.06,121.99,870.6,1219.9
553,698,5,17.81,31.99,89.05,159.95
625,389,6,9.68,10.99,58.08,65.94
2037,100,1,22.2,35.66,22.2,35.66
175,842,3,70.3,237.17,210.9,711.51
2977,405,9,18.63,20.99,167.67,188.91
975,823,9,87.97,116.99,791.73,1052.91
494,141,1,44.44,80,44.44,80
839,393,8,24.54,45.71,196.32,365.68
453,895,5,78.88,147.99,394.4,739.95
2856,186,7,86.96,169.99,608.72,1189.93
2747,12,9,10.81,18,97.29,162
607,923,10,51.76,62.99,517.6,629.9
1944,981,1,54.68,56.99,54.68,56.99
1238,14,3,57.11,81.99,171.33,245.97
836,553,2,91.5,92.99,183,185.98
2674,597,9,20.21,21,181.89,189
2497,703,9,55.07,173.24,495.63,1559.16
2193,532,3,32.28,62.84,96.84,188.52
35,111,14,2.3,2.99,32.2,41.86
2867,398,7,39.56,90.65,276.92,634.55
292,849,3,66.15,94.66,198.45,283.98
2488,470,10,21.86,45.06,218.6,450.6
2950,719,6,58.15,106,348.9,636
2494,270,10,4.29,6.02,42.9,60.2
2889,829,4,11.05,13.99,44.2,55.96
576,453,5,2.3,2.99,11.5,14.95
274,940,3,76.52,105.99,229.56,317.97
161,824,3,5.04,5.99,15.12,17.97
1811,425,2,76.62,87,153.24,174
686,73,13,30.04,32.99,390.52,428.87
2897,870,11,78.76,93.99,866.36,1033.89
150,246,12,12.31,18,147.72,216
1517,5,2,43.98,64,87.96,128
1760,399,4,93.37,121.99,373.48,487.96
431,930,5,30.19,49.99,150.95,249.95
2897,118,1,16.27,27.99,16.27,27.99
2801,506,9,72.39,111.99,651.51,1007.91
546,986,2,6.67,9,13.34,18
1807,894,11,96.74,121.14,1064.14,1332.54
619,988,7,49.2,66,344.4,462
326,333,8,75.06,233.33,600.48,1866.64
2784,370,4,20.77,34.99,83.08,139.96
921,720,3,51.52,65.99,154.56,197.97
2190,171,1,3.59,5.99,3.59,5.99
2009,441,14,7.88,12.99,110.32,181.86
13,42,1,43.76,53,43.76,53
1855,351,2,64.36,116.99,128.72,233.98
1029,858,3,45.2,49.99,135.6,149.97
703,88,12,74.07,102.99,888.84,1235.88
1003,6,11,43.65,52.99,480.15,582.89
559,369,10,5.24,8,52.4,80
1878,704,2,53.32,58.99,106.64,117.98
34,771,8,37.48,69,299.84,552
2060,236,14,14.62,27.99,204.68,391.86
1968,750,14,53.72,61.99,752.08,867.86
745,128,9,29.51,41.99,265.59,377.91
1804,695,12,69.78,109.99,837.36,1319.88
2366,518,10,96.83,125.61,968.3,1256.1
1753,719,9,58.15,106,523.35,954
639,76,2,96.66,134.99,193.32,269.98
1284,903,14,6.6,13.01,92.4,182.14
2016,646,11,49.95,52.99,549.45,582.89
993,313,6,42.63,69,255.78,414
1402,87,6,79.75,87.99,478.5,527.94
932,409,12,77.49,133.26,929.88,1599.12
1224,884,7,99.06,191.99,693.42,1343.93
2559,738,9,14.73,21,132.57,189
1593,782,3,34.41,51.99,103.23,155.97
2685,581,3,5.35,9.8,16.05,29.4
2420,716,10,80.25,98.99,802.5,989.9
2710,785,9,45.97,50.99,413.73,458.91
1859,615,13,84.37,87.99,1096.81,1143.87
2514,749,5,83.64,100.99,418.2,504.95
1147,370,14,20.77,52.96,290.78,741.44
1040,500,13,76.77,129,998.01,1677
1142,302,10,74,134.58,740,1345.8
1210,711,9,31.94,53.99,287.46,485.91
1552,222,13,7.3,10.99,94.9,142.87
1213,407,12,83.74,158,1004.88,1896
1738,639,3,71.08,82,213.24,246
905,459,11,35.77,68.99,393.47,758.89
2961,432,4,70.75,123.99,283,495.96
1717,934,10,16.84,21,168.4,210
2615,54,13,5.02,6.99,65.26,90.87
2711,12,12,10.81,18,129.72,216
479,619,11,34.66,44.99,381.26,494.89
919,502,5,22.48,32.99,112.4,164.95
868,999,3,12.36,15.99,37.08,47.97
974,957,1,24.53,29,24.53,29
2487,132,12,66.4,82.99,796.8,995.88
2505,814,14,41.83,61.99,585.62,867.86
2806,672,12,27.48,52.99,329.76,635.88
719,924,12,39.07,44.99,468.84,539.88
2981,473,11,42.99,66.99,472.89,736.89
2800,750,12,53.72,61.99,644.64,743.88
133,892,5,4.25,5.99,21.25,29.95
301,424,7,66.67,97.99,466.69,685.93
43,31,2,30.06,51.99,60.12,103.98
1609,97,11,85.5,90.99,940.5,1000.89
1826,95,14,46,79.48,644,1112.72
1175,455,12,42.6,81.99,511.2,983.88
2139,371,9,48.57,88,437.13,792
1469,246,12,12.31,18,147.72,216
2189,293,5,69.48,149.59,347.4,747.95
2029,996,10,65.97,113.99,659.7,1139.9
1204,207,4,52.9,101.99,211.6,407.96
2892,905,6,37.52,55.99,225.12,335.94
496,778,7,68.06,107.99,476.42,755.93
1006,66,3,36.29,49.99,108.87,149.97
2142,346,4,36.89,49.99,147.56,199.96
1763,64,3,43.95,56.99,131.85,170.97
1387,955,7,85.02,237.38,595.14,1661.66
636,259,7,19.28,19.99,134.96,139.93
2811,437,7,70.4,116,492.8,812
1085,931,6,43.43,112.43,260.58,674.58
2385,493,7,88.55,117,619.85,819
1789,76,2,96.66,134.99,193.32,269.98
1586,740,12,30.15,55,361.8,660
64,966,3,21.37,49.61,64.11,148.83
1239,1,9,20.56,38.99,185.04,350.91
348,169,1,59.08,84,59.08,84
1508,175,5,23.95,50.54,119.75,252.7
72,695,6,69.78,109.99,418.68,659.94
752,638,9,1.38,2.91,12.42,26.19
1840,153,10,33.14,48.73,331.4,487.3
494,730,3,99.59,193.99,298.77,581.97
2997,68,6,59.45,112,356.7,672
1666,596,9,60.31,114.99,542.79,1034.91
1655,254,11,18.38,33.99,202.18,373.89
2185,760,13,88.51,100.99,1150.63,1312.87
930,82,5,43.17,58,215.85,290
2221,357,11,32.19,39.99,354.09,439.89
870,466,10,66.74,105.99,667.4,1059.9
807,197,13,82.5,210.59,1072.5,2737.67
2935,756,7,22.02,25,154.14,175
1472,257,14,84.61,138.99,1184.54,1945.86
2070,283,12,90.79,148,1089.48,1776
2595,232,13,12.52,24,162.76,312
1424,240,14,26.56,87.61,371.84,1226.54
867,690,9,57.48,165.47,517.32,1489.23
918,356,8,52.21,63.99,417.68,511.92
280,384,3,75.09,120.99,225.27,362.97
1358,871,14,66.65,94.99,933.1,1329.86
187,295,6,61.89,73.99,371.34,443.94
1411,146,10,23.67,45.99,236.7,459.9
2302,794,14,11.73,12.99,164.22,181.86
790,495,14,35.24,66.99,493.36,937.86
974,217,5,74.07,130,370.35,650
1501,637,3,44.58,80,133.74,240
2875,691,12,76.17,88,914.04,1056
1150,51,5,98.47,173.99,492.35,869.95
757,874,14,6.48,6.99,90.72,97.86
1774,968,11,37.3,60.99,410.3,670.89
797,198,3,97.09,118.99,291.27,356.97
655,470,2,21.86,32,43.72,64
2353,799,13,3.07,3.99,39.91,51.87
2492,730,12,99.59,193.99,1195.08,2327.88
2520,93,10,24.33,53.96,243.3,539.6
1483,858,11,45.2,49.99,497.2,549.89
2116,637,10,44.58,80,445.8,800
2596,477,8,44.14,51,353.12,408
2931,912,11,25.02,42.99,275.22,472.89
562,408,4,99.2,168.99,396.8,675.96
1221,512,1,18.51,33.99,18.51,33.99
1293,56,14,9.46,11.01,132.44,154.14
1507,997,14,2.9,3.99,40.6,55.86
668,851,2,81.91,161,163.82,322
2736,710,2,56.6,87.99,113.2,175.98
774,767,12,58.8,104,705.6,1248
2551,315,11,9.2,13,101.2,143
243,387,6,30.94,56.19,185.64,337.14
2681,490,6,61.49,105.66,368.94,633.96
2406,262,8,4.54,6.99,36.32,55.92
1423,666,6,51.19,60.99,307.14,365.94
253,182,13,55.58,122.6,722.54,1593.8
972,364,14,43.03,62,602.42,868
1315,617,7,44.24,92.2,309.68,645.4
1186,647,2,36.76,72,73.52,144
1123,128,9,29.51,41.99,265.59,377.91
1222,988,13,49.2,66,639.6,858
2504,168,5,81.36,152,406.8,760
921,518,4,96.83,97.99,387.32,391.96
1462,261,4,96.5,183.99,386,735.96
734,193,13,61.93,69,805.09,897
1370,737,1,90.12,104.99,90.12,104.99
1464,18,9,24.31,30.99,218.79,278.91
2018,28,7,1.12,3.43,7.84,24.01
497,27,2,17.3,19,34.6,38
820,655,9,97.53,137,877.77,1233
2258,150,3,10.71,14.99,32.13,44.97
789,421,3,24.34,34,73.02,102
1226,99,14,4.44,6,62.16,84
406,788,12,75.67,76.99,908.04,923.88
1848,786,14,78.22,123.99,1095.08,1735.86
2566,350,13,24.99,35,324.87,455
603,95,5,46,47.99,230,239.95
1177,254,13,18.38,33.99,238.94,441.87
347,313,8,42.63,88.28,341.04,706.24
2397,661,8,99.4,135.99,795.2,1087.92
234,790,7,89.39,101,625.73,707
2139,948,14,92.14,147.99,1289.96,2071.86
2301,99,8,4.44,7.17,35.52,57.36
1740,824,6,5.04,5.99,30.24,35.94
651,944,14,20.99,30.99,293.86,433.86
1212,326,12,2.8,4,33.6,48
2856,452,2,29.23,49.99,58.46,99.98
996,715,6,51.05,58,306.3,348
2196,436,13,35.88,70,466.44,910
323,22,13,83.64,109,1087.32,1417
640,265,12,60.74,113.99,728.88,1367.88
69,790,7,89.39,136.08,625.73,952.56
2871,242,6,19.66,47.96,117.96,287.76
2022,644,6,67.82,107.99,406.92,647.94
1271,694,13,41.37,64,537.81,832
830,864,5,66.34,121.99,331.7,609.95
2567,946,3,70.26,96.99,210.78,290.97
777,895,8,78.88,244.99,631.04,1959.92
2684,52,11,47.2,78.99,519.2,868.89
2391,565,3,42.59,72.99,127.77,218.97
2512,818,11,9.68,16,106.48,176
1185,214,7,23.5,42,164.5,294
2351,707,5,15.31,22.99,76.55,114.95
2359,669,4,32.49,41.99,129.96,167.96
359,932,9,75.22,118.08,676.98,1062.72
677,428,5,26.59,45.99,132.95,229.95
2285,35,7,84.18,90,589.26,630
1357,406,1,35.13,50.99,35.13,50.99
944,664,5,41.9,46,209.5,230
1209,962,11,34.09,42.99,374.99,472.89
959,850,14,18.18,24.99,254.52,349.86
1917,635,3,67.74,71.99,203.22,215.97
741,53,8,2.79,7.8,22.32,62.4
704,329,13,51.56,61.99,670.28,805.87
951,75,5,99.79,182.99,498.95,914.95
2755,454,6,59.65,99,357.9,594
2710,28,12,1.12,1.99,13.44,23.88
1447,403,13,76.6,125.4,995.8,1630.2
1813,352,4,30.07,42.99,120.28,171.96
186,992,14,30.44,40.99,426.16,573.86
1320,206,1,34.63,45.99,34.63,45.99
2756,15,1,67.15,101,67.15,101
1376,582,12,3.3,3.99,39.6,47.88
1087,401,3,34.76,88.35,104.28,265.05
1391,311,4,48.33,66,193.32,264
2277,818,5,9.68,16,48.4,80
670,341,6,50.09,67.99,300.54,407.94
2381,78,9,35.94,57,323.46,513
1180,979,9,57.51,137.07,517.59,1233.63
2681,36,4,35.14,89.77,140.56,359.08
782,622,9,68.98,76,620.82,684
2980,390,9,82.34,135,741.06,1215
2524,105,11,52.44,87.99,576.84,967.89
2614,248,10,12.22,12.99,122.2,129.9
2103,533,1,17.65,23,17.65,23
2838,544,11,40.88,68,449.68,748
1402,83,13,46.29,50.99,601.77,662.87
2024,400,4,85.81,112.99,343.24,451.96
1470,801,7,33.43,48.99,234.01,342.93
1771,741,14,35.36,36.99,495.04,517.86
2699,364,7,43.03,62,301.21,434
53,329,10,51.56,61.99,515.6,619.9
8,408,10,99.2,285.05,992,2850.5
768,897,13,82.28,153,1069.64,1989
361,604,14,8.5,16,119,224
1761,581,14,5.35,9,74.9,126
269,89,3,94.11,166,282.33,498
2146,217,12,74.07,130,888.84,1560
144,738,9,14.73,26.98,132.57,242.82
52,660,6,36.55,49.99,219.3,299.94
703,440,12,36.15,85.28,433.8,1023.36
1741,967,14,72.91,93.99,1020.74,1315.86
1516,313,6,42.63,69,255.78,414
1212,479,5,17.55,21,87.75,105
2181,4,5,67.4,94.99,337,474.95
1816,567,14,28.52,34.99,399.28,489.86
2670,145,12,48.45,79.35,581.4,952.2
245,491,7,49.08,109.1,343.56,763.7
1688,523,4,64.6,69,258.4,276
11,61,12,81.42,86,977.04,1032
2599,108,1,13.5,23,13.5,23
36,4,1,67.4,94.99,67.4,94.99
2316,433,4,19.98,23,79.92,92
2216,827,8,79.57,122.59,636.56,980.72
42,425,7,76.62,99.52,536.34,696.64
1164,91,4,39.94,47,159.76,188
231,467,1,45.68,87.99,45.68,87.99
108,483,7,40.83,56.99,285.81,398.93
1444,637,3,44.58,80,133.74,240
733,398,9,39.56,91.63,356.04,824.67
1202,893,4,69.14,161.57,276.56,646.28
178,249,10,46.22,48.99,462.2,489.9
2394,737,12,90.12,104.99,1081.44,1259.88
1511,443,13,89.84,93.99,1167.92,1221.87
1372,819,9,92.5,118.54,832.5,1066.86
679,173,2,12.88,22.55,25.76,45.1
2061,552,7,19.42,28,135.94,196
2697,736,7,72.38,121,506.66,847
2427,697,5,85.18,107.99,425.9,539.95
1306,744,5,5.21,6.99,26.05,34.95
1492,175,13,23.95,28.99,311.35,376.87
2201,947,13,86.75,131.99,1127.75,1715.87
1174,28,12,1.12,1.99,13.44,23.88
112,215,5,15.11,21,75.55,105
1577,844,4,97.96,222.51,391.84,890.04
2816,487,6,9.97,24.25,59.82,145.5
2500,435,5,93.77,139.99,468.85,699.95
2847,478,2,33.01,78,66.02,156
1178,836,1,46.41,77.99,46.41,77.99
82,15,7,67.15,101,470.05,707
1367,778,10,68.06,167.08,680.6,1670.8
425,135,6,93.07,149.99,558.42,899.94
572,564,3,31.7,33.99,95.1,101.97
2744,325,5,45.63,69.99,228.15,349.95
2139,78,10,35.94,57,359.4,570
1893,459,6,35.77,68.99,214.62,413.94
2411,564,12,31.7,33.99,380.4,407.88
2841,67,7,4.8,7.99,33.6,55.93
851,132,3,66.4,82.99,199.2,248.97
780,23,11,17.95,23,197.45,253
2346,166,9,99.75,168.99,897.75,1520.91
1392,537,7,20.32,32.99,142.24,230.93
331,966,11,21.37,33.99,235.07,373.89
2571,501,8,67.84,114.95,542.72,919.6
833,236,11,14.62,29.72,160.82,326.92
2704,179,1,42.89,76.99,42.89,76.99
464,679,9,15.6,44.76,140.4,402.84
2987,193,4,61.93,69,247.72,276
457,276,11,85.11,168,936.21,1848
809,857,8,20.67,22,165.36,176
1314,408,2,99.2,168.99,198.4,337.98
1720,213,1,12.46,23.35,12.46,23.35
987,699,3,74.37,79.99,223.11,239.97
1248,957,2,24.53,29,49.06,58
700,991,12,4.86,7,58.32,84
683,778,6,68.06,107.99,408.36,647.94
1821,212,13,43.9,49.99,570.7,649.87
644,348,7,5.71,8.99,39.97,62.93
749,12,5,10.81,18,54.05,90
1238,115,5,69.95,101.59,349.75,507.95
630,84,2,84.44,110,168.88,220
12,699,7,74.37,79.99,520.59,559.93
124,153,1,33.14,36,33.14,36
1683,450,6,62.76,82.99,376.56,497.94
2672,90,10,32.34,43,323.4,430
523,516,6,31,56,186,336
531,989,12,58.2,71.99,698.4,863.88
2471,421,2,24.34,34,48.68,68
2049,631,7,37.77,66.99,264.39,468.93
264,423,7,53.18,154.51,372.26,1081.57
2728,981,1,54.68,95.96,54.68,95.96
1233,971,12,35.32,66,423.84,792
654,307,9,22.65,41.99,203.85,377.91
262,879,8,48.58,119.37,388.64,954.96
971,929,3,5.05,6,15.15,18
2440,637,14,44.58,80,624.12,1120
1133,300,11,90.31,142.99,993.41,1572.89
2768,571,13,6.42,10.99,83.46,142.87
11,472,2,33.85,50.99,67.7,101.98
782,211,5,23.09,43.99,115.45,219.95
2802,958,7,80.3,112.99,562.1,790.93
2147,479,11,17.55,35.64,193.05,392.04
266,391,5,94.38,131,471.9,655
1781,361,1,4.58,10.27,4.58,10.27
2217,1000,14,19.8,28.99,277.2,405.86
1244,367,2,65.04,114,130.08,228
678,102,2,40.48,60.99,80.96,121.98
2988,804,2,36.05,101.91,72.1,203.82
427,39,8,65.83,79.99,526.64,639.92
